Year,Category,Trade Value
2013,"Optical, photo, & film equipment; medical instruments",9702792875
2021,Non-knitted clothing accesories,9625895140
2019,Used clothes & textile articles,9552909322
2013,Iron/Steel Articles,9487453545
2023,Footwear,9450488861
2023,Non-knitted clothing accesories,9216735794
2014,Leather articles,9193343470
2018,Used clothes & textile articles,9101431399
2023,Used clothes & textile articles,8823813267
2020,Footwear,8757215239
2017,Used clothes & textile articles,8523401425
2023,Organic chemicals,8350220769
2015,Used clothes & textile articles,8169397802
2013,Leather articles,8153301130
2019,Organic chemicals,8018850690
2017,Organic chemicals,7914587355
2016,Used clothes & textile articles,7808472541
2020,Organic chemicals,7660740219
2018,Leather articles,7570226734
2014,Used clothes & textile articles,7383772838
2013,Used clothes & textile articles,7057903854
2013,Organic chemicals,6874924274
2014,Organic chemicals,6867007861
2015,Organic chemicals,6805836479
2017,Leather articles,6724412702
2016,Leather articles,6612612149
2015,Leather articles,6579125304
2022,Miscellaneous metal products,6472305294
2016,Organic chemicals,6449210229
2021,Miscellaneous metal products,6437134724
2014,Rubber & articles thereof,6211832519
2018,Miscellaneous metal products,5314462347
2019,Leather articles,5165999712
2020,Miscellaneous metal products,5162227256
2021,Rubber & articles thereof,5139307119
2013,Rubber & articles thereof,5086945884
2023,Miscellaneous metal products,5039198366
2019,Miscellaneous metal products,4949433638
2015,Rubber & articles thereof,4748413881
2017,Miscellaneous metal products,4676436476
2015,Miscellaneous metal products,4565354693
2018,Tools & cutlery,4544163008
2022,Leather articles,4517326036
2022,Misc. manufactures,4466616318
2021,Tools & cutlery,4454830291
2018,Rubber & articles thereof,4393917768
2016,Miscellaneous metal products,4335358297
2022,Tools & cutlery,4178339823
2014,Miscellaneous metal products,4141422098
2023,Misc. manufactures,4068559679
2022,Aluminum articles,4063878590
2013,Miscellaneous metal products,4029655516
2020,Tools & cutlery,4020199390
2019,Tools & cutlery,4003974380
2021,Misc. manufactures,3968785876
2017,Tools & cutlery,3897034939
2021,Leather articles,3889209296
2020,Leather articles,3856098764
2015,Tools & cutlery,3801493639
2016,Rubber & articles thereof,3778322186
2022,Rubber & articles thereof,3768726392
2017,Rubber & articles thereof,3757125056
2018,Paper articles,3746699286
2016,Tools & cutlery,3685018205
2021,Aluminum articles,3684078736
2014,Tools & cutlery,3644168074
2017,Aluminum articles,3618056387
2013,Tools & cutlery,3456057717
2017,Paper articles,3453998185
2023,Leather articles,3413833622
2022,Paper articles,3407747816
2016,Paper articles,3271279447
2020,Misc. manufactures,3238529932
2023,Tools & cutlery,3195485469
2015,Paper articles,3188713151
2019,Misc. manufactures,3183355997
2015,Aluminum articles,3170559293
2023,Paper articles,3166609095
2018,Misc. manufactures,3108329116
2016,Aluminum articles,3103723439
2015,Misc. manufactures,3085040401
2016,Misc. manufactures,3022967484
2018,Aluminum articles,3005483384
2020,Rubber & articles thereof,3004401206
2014,Paper articles,2992511865
2019,Paper articles,2920056518
2021,Paper articles,2873725135
2019,Rubber & articles thereof,2856110687
2013,Paper articles,2837060678
2023,Aluminum articles,2835067295
2017,Misc. manufactures,2816332297
2023,Rubber & articles thereof,2738811923
2014,Aluminum articles,2731023271
2014,Misc. manufactures,2661290903
2020,Aluminum articles,2636147034
2019,Aluminum articles,2601612553
2013,Aluminum articles,2562635844
2013,Misc. manufactures,2534315574
2020,Paper articles,2403053905
