Country,Flag Code,Int$
Iceland,"<g transform='scale(0.0633,0.0633) translate(0,0)'><path style='fill:#214391;' d='M460.143,157.874c-0.022-0.075-0.045-0.138-0.075-0.206C429.759,72.2,351.789,9.323,258.113,0.972c36.248,19.872,46.838,82.832,56.109,156.901c6.339,50.593,6.376,106.335,0.123,156.995c-9.196,74.47-19.831,137.874-56.232,157.829c93.848-8.362,171.927-71.46,202.12-157.156c0.078-0.228,0.146-0.452,0.228-0.673c8.53-24.438,13.219-50.682,13.219-78.026C473.677,209.139,468.879,182.577,460.143,157.874z'/><path style='fill:#2B479D;' d='M326.416,157.874c-9.274-74.07-32.056-137.029-68.307-156.901C251.097,0.352,244.007,0,236.835,0C133.806,0,46.191,65.802,13.608,157.668c-0.022,0.067-0.045,0.131-0.075,0.206C4.798,182.573,0,209.139,0,236.842c0,27.348,4.697,53.588,13.219,78.026c0.079,0.221,0.153,0.445,0.228,0.673C45.9,407.643,133.641,473.677,236.835,473.677c7.173,0,14.263-0.352,21.274-0.98c36.401-19.954,59.227-83.359,68.423-157.829C332.792,264.208,332.751,208.47,326.416,157.874z'/><path style='fill:#F3F4F5;' d='M467.368,182.607h-99.084h-48.712c2.229,34.045,2.39,68.999,0.381,103.137h48.715h99.925c3.317-15.785,5.082-32.13,5.082-48.899C473.677,218.167,471.448,200.034,467.368,182.607z'/><path style='fill:#F3F4F5;' d='M331.173,285.741c2.008-34.139,1.847-69.092-0.381-103.137H224.726V0.31c-37.321,1.877-72.338,12.438-103.145,29.64v152.657H6.32c-4.091,17.426-6.316,35.563-6.316,54.235c0,16.768,1.769,33.114,5.082,48.899h116.495v157.99c30.807,17.202,65.824,27.763,103.145,29.64v-187.63L331.173,285.741L331.173,285.741z'/><path style='fill:#E21D39;' d='M469.668,193.575H308.429c1.784,27.157,1.907,55.039,0.307,82.271h161.699c2.117-12.688,3.242-25.71,3.242-39.004C473.677,222.052,472.275,207.606,469.668,193.575z'/><path style='fill:#ED2A3D;' d='M329.756,193.575h-114.51V1.01c-29.296,2.651-57.036,10.635-82.271,22.98v169.59H4.016C1.41,207.61,0,222.056,0,236.846c0,13.294,1.133,26.315,3.25,39.004h129.722v173.838c25.235,12.352,52.975,20.34,82.271,22.983V275.846h114.816C331.663,248.614,331.536,220.732,329.756,193.575z'/></g>",58
Ireland,"<g transform='scale(0.46875, 0.46875) translate(0, 0)'><path d='M1.8 32c0 13.1 8.4 24.2 20 28.3V3.7C10.1 7.8 1.8 18.9 1.8 32z' fill='#83bf4f'></path><path d='M61.8 32c0-13.1-8.4-24.2-20-28.3v56.6c11.6-4.1 20-15.2 20-28.3' fill='#ff8736'></path><path d='M21.8 60.3c3.1 1.1 6.5 1.7 10 1.7s6.9-.6 10-1.7V3.7C38.6 2.6 35.3 2 31.8 2s-6.9.6-10 1.7v56.6' fill='#ffffff'></path></g>",143
Israel,"<g transform='scale(0.0586, 0.0586) translate(0, 0)'><circle style='fill:#F0F0F0;' cx='256' cy='256' r='256'/><g><path style='fill:#0052B4;' d='M352.393,200.348H288.13L256,144.696l-32.129,55.652h-64.264L191.741,256l-32.134,55.652h64.264 L256,367.304l32.13-55.652h64.263L320.259,256L352.393,200.348z M295.475,256l-19.736,34.188h-39.475L216.525,256l19.738-34.188 h39.475L295.475,256z M256,187.623l7.346,12.724h-14.69L256,187.623z M196.786,221.812h14.692l-7.346,12.724L196.786,221.812z M196.786,290.188l7.347-12.724l7.346,12.724H196.786z M256,324.376l-7.345-12.724h14.691L256,324.376z M315.214,290.188h-14.692 l7.347-12.724L315.214,290.188z M300.522,221.812h14.692l-7.346,12.724L300.522,221.812z'/></g></g>",57
Italy,"<g transform='scale(0.0633, 0.0633) translate(0, 0)'><path style='fill:#086936;' d='M315.8,13.535l-27.64,76.632c25.511,84.193,25.511,209.154,0,293.351l27.639,76.624c91.975-32.523,157.881-120.194,157.881-223.309C473.681,133.737,407.774,46.058,315.8,13.535z'/><path style='fill:#E4E4E4;' d='M315.8,90.167V13.535C291.1,4.8,264.534,0.002,236.838,0.002C273.359,0.002,222.722,123.774,315.8,90.167z'/><path style='fill:#E4E4E4;' d='M236.838,473.678c27.695,0,54.261-4.798,78.961-13.534V383.52C223.656,374.326,236.838,473.678,236.838,473.678z'/><path style='fill:#CD2029;' d='M0,236.837C0,340.296,66.355,428.198,158.805,460.46V13.229C66.355,45.49,0,133.392,0,236.837z'/><path style='fill:#0C763C;' d='M315.8,90.167v293.351C341.315,299.321,341.315,174.358,315.8,90.167z'/><path style='fill:#F3F4F5;' d='M315.8,383.521V90.167c-16.125-53.229-42.44-90.165-78.961-90.165c-27.351,0-53.592,4.697-78.034,13.227V460.46c24.442,8.53,50.682,13.219,78.034,13.219C273.359,473.678,299.674,436.743,315.8,383.521z'/></g>",62
Luxembourg,"<g transform='scale(0.0633, 0.0633) translate(0, 0)'><path style='fill:#EFECEC;' d='M460.14,157.877H314.219c6.335,50.593,6.376,106.339,0.12,156.995h146.116 c8.526-24.442,13.219-50.682,13.219-78.03C473.678,209.143,468.876,182.577,460.14,157.877z'/><path style='fill:#E63026;' d='M314.219,157.877h145.922c-0.026-0.075-0.049-0.138-0.075-0.206 C429.753,72.204,351.786,9.323,258.105,0.976C294.358,20.848,304.944,83.808,314.219,157.877z'/><path style='fill:#14A2DC;' d='M258.109,472.701c93.848-8.362,171.927-71.46,202.12-157.156c0.079-0.228,0.146-0.452,0.228-0.673 h-146.12C305.143,389.342,294.51,452.746,258.109,472.701z'/><path style='fill:#EFEFEF;' d='M0.001,236.842c0,27.348,4.693,53.588,13.219,78.03h313.313c6.256-50.66,6.215-106.402-0.12-156.995 H13.534C4.798,182.577,0.001,209.143,0.001,236.842z'/><path style='fill:#E73B36;' d='M13.604,157.672c-0.026,0.067-0.049,0.131-0.075,0.206h312.883 c-9.274-74.07-32.056-137.029-68.303-156.901C251.098,0.355,244.007,0,236.835,0C133.807,0,46.185,65.805,13.604,157.672z'/><path style='fill:#15AFE1;' d='M326.533,314.872H13.22c0.079,0.221,0.15,0.445,0.228,0.673 C45.9,407.647,133.637,473.68,236.835,473.68c7.173,0,14.263-0.352,21.274-0.98C294.51,452.746,317.337,389.342,326.533,314.872z'/></g>",146
Netherlands,"<g transform='scale(0.0633, 0.0633) translate(0, 0)'><circle style='fill:#FFFFFF;' cx='236.85' cy='236.85' r='236.83'/><path style='fill:#EFECEC;' d='M460.14,157.877H314.219c6.335,50.593,6.376,106.339,0.12,156.995h146.116 c8.526-24.442,13.219-50.682,13.219-78.03C473.678,209.143,468.876,182.577,460.14,157.877z'/><path style='fill:#E63026;' d='M314.219,157.877h145.922c-0.026-0.075-0.049-0.138-0.075-0.206 C429.753,72.204,351.786,9.323,258.105,0.976C294.358,20.848,304.944,83.808,314.219,157.877z'/><path style='fill:#2B479D;' d='M258.109,472.701c93.848-8.362,171.927-71.46,202.12-157.156c0.079-0.228,0.146-0.452,0.228-0.673 h-146.12C305.143,389.342,294.51,452.746,258.109,472.701z'/><path style='fill:#EFEFEF;' d='M0.001,236.842c0,27.348,4.693,53.588,13.219,78.03h313.313c6.256-50.66,6.215-106.402-0.12-156.995 H13.534C4.798,182.577,0.001,209.143,0.001,236.842z'/><path style='fill:#E73B36;' d='M13.604,157.672c-0.026,0.067-0.049,0.131-0.075,0.206h312.883 c-9.274-74.07-32.056-137.029-68.303-156.901C251.098,0.355,244.007,0,236.835,0C133.807,0,46.185,65.805,13.604,157.672z'/><path style='fill:#3757A6;' d='M326.533,314.872H13.22c0.079,0.221,0.15,0.445,0.228,0.673 C45.9,407.647,133.637,473.68,236.835,473.68c7.173,0,14.263-0.352,21.274-0.98C294.51,452.746,317.337,389.342,326.533,314.872z'/></g>",80
Norway,"<g transform='scale(0.0633, 0.0633) translate(0, 0)'><circle style='fill:#FFFFFF;' cx='236.85' cy='236.85' r='236.83'/><path style='fill:#BE2126;' d='M460.14,157.874c-0.026-0.075-0.049-0.138-0.075-0.206C429.752,72.2,351.785,9.319,258.105,0.972 c36.248,19.872,46.834,82.832,56.109,156.901c6.335,50.593,6.376,106.339,0.12,156.995c-9.196,74.47-19.827,137.874-56.228,157.829 c93.848-8.362,171.927-71.46,202.12-157.156c0.078-0.228,0.146-0.452,0.228-0.673c8.526-24.438,13.219-50.682,13.219-78.026 C473.677,209.139,468.875,182.573,460.14,157.874z'/><path style='fill:#D32027;' d='M326.412,157.874c-9.274-74.07-32.056-137.029-68.303-156.901C251.097,0.352,244.007,0,236.835,0 C133.806,0,46.187,65.802,13.608,157.668c-0.026,0.067-0.049,0.131-0.075,0.206C4.798,182.573,0,209.139,0,236.842 c0,27.348,4.693,53.588,13.219,78.026c0.079,0.221,0.15,0.445,0.228,0.673c32.452,92.102,120.19,158.135,223.387,158.135 c7.173,0,14.263-0.352,21.274-0.98c36.401-19.954,59.227-83.359,68.423-157.829C332.788,264.208,332.747,208.466,326.412,157.874z'/><path style='fill:#F3F4F5;' d='M331.165,285.741c2.008-34.139,1.851-69.096-0.381-103.145H224.718V0.307 c-37.321,1.877-72.338,12.438-103.145,29.64v152.649H6.312C2.225,200.022,0,218.167,0,236.842c0,16.761,1.769,33.114,5.082,48.899 h116.491v157.99c30.807,17.195,65.824,27.755,103.145,29.64v-187.63L331.165,285.741L331.165,285.741z'/><path style='fill:#E4E4E4;' d='M467.361,182.596h-99.08h-38.742c2.233,34.049,2.39,69.006,0.381,103.145h38.746h99.929 c3.317-15.785,5.082-32.138,5.082-48.899C473.677,218.167,471.448,200.022,467.361,182.596z'/><path style='fill:#2B479D;' d='M469.661,193.575h-161.24c1.784,27.157,1.907,55.043,0.307,82.271h161.699 c2.117-12.688,3.246-25.71,3.246-39.004C473.677,222.052,472.271,207.606,469.661,193.575z'/><path style='fill:#3757A6;' d='M329.748,193.575H215.239V1.01c-29.296,2.644-57.036,10.635-82.271,22.98v169.59H4.013 C1.406,207.606,0,222.052,0,236.842c0,13.294,1.129,26.315,3.246,39.004h129.722v173.838c25.235,12.344,52.975,20.336,82.271,22.983 V275.846h114.816C331.655,248.614,331.532,220.728,329.748,193.575z'/></g>",93
Qatar,"<g transform='scale(0.064, 0.064) translate(0, 0)'><path style='fill:#E1E1E1;' d='M237.031,449.041l-70.599-27.448l70.599-26.674v-0.138l-70.599-25.893l70.599-25.104v-0.135 l-70.599-27.456l70.599-25.104v-0.138l-70.599-27.463l70.599-25.096v-0.146l-70.599-27.456l70.599-25.104v-0.138l-70.599-27.456 l70.599-25.111v-0.138l-70.599-27.456l70.599-25.096V80.15l-70.599-27.463l70.599-25.104v-0.138 c-2.726-1.028-34.49-13.044-54.845-21.043C77.748,31.091,0.002,124.849,0.002,236.838c0,112.883,79.006,207.255,184.72,231.008 c21.97-8.422,49.834-17.838,52.309-18.668V449.041z'/><path style='fill:#70193C;' d='M237.031,0c-0.067,0-0.127,0-0.194,0v473.681c0.067,0,0.127-0.007,0.194-0.007 c130.717-0.101,236.648-106.095,236.648-236.831C473.679,106.095,367.748,0.108,237.031,0z'/><path style='fill:#7D224B;' d='M236.837,0c-18.818,0-37.1,2.259-54.65,6.406c20.354,7.999,52.118,20.014,54.845,21.043v0.138 l-70.599,25.104l70.599,27.463v0.138l-70.599,25.096l70.599,27.456v0.138l-70.599,25.108l70.599,27.456v0.138l-70.599,25.104 l70.599,27.456v0.146l-70.599,25.096l70.599,27.463v0.138l-70.599,25.104l70.599,27.456v0.138l-70.599,25.104l70.599,25.893v0.138 l-70.599,26.674l70.599,27.448v0.138c-2.476,0.834-30.339,10.246-52.309,18.668c16.776,3.777,34.202,5.83,52.118,5.83 C367.643,473.677,367.643,0,236.837,0z'/></g>",53
Saudi Arabia,"<g transform='scale(0.05859, 0.05859) translate(0, 0)'><circle style='fill:#6DA544;' cx='256' cy='256' r='256'/><g><path style='fill:#F0F0F0;' d='M144.696,306.087c0,18.441,14.95,33.391,33.391,33.391h100.174c0,15.368,12.458,27.826,27.826,27.826h33.391c15.368,0,27.826-12.458,27.826-27.826v-33.391H144.696z'/><path style='fill:#F0F0F0;' d='M370.087,144.696v77.913c0,12.275-9.986,22.261-22.261,22.261v33.391c30.687,0,55.652-24.966,55.652-55.652v-77.913H370.087z'/><path style='fill:#F0F0F0;' d='M130.783,222.609c0,12.275-9.986,22.261-22.261,22.261v33.391c30.687,0,55.652-24.966,55.652-55.652v-77.913h-33.391V222.609z'/><rect x='320' y='144.696' style='fill:#F0F0F0;' width='33.391' height='77.913'/><path style='fill:#F0F0F0;' d='M269.913,189.217c0,3.069-2.497,5.565-5.565,5.565s-5.565-2.497-5.565-5.565v-44.522h-33.391v44.522c0,3.069-2.497,5.565-5.565,5.565s-5.565-2.497-5.565-5.565v-44.522H180.87v44.522c0,21.481,17.476,38.957,38.957,38.957c8.273,0,15.945-2.6,22.261-7.016c6.315,4.415,13.988,7.016,22.261,7.016c1.666,0,3.304-0.117,4.915-0.322c-2.366,9.749-11.146,17.017-21.611,17.017v33.391c30.687,0,55.652-24.966,55.652-55.652v-33.391v-44.522h-33.391V189.217z'/><rect x='180.87' y='244.87' style='fill:#F0F0F0;' width='50.087' height='33.391'/></g></g>",53
Singapore,"<g transform='scale(0.46875, 0.46875) translate(0, 0)'><path d='M32 62c16.6 0 30-13.4 30-30H2c0 16.6 13.4 30 30 30z' fill='#f9f9f9'></path><path d='M32 2C15.4 2 2 15.4 2 32h60C62 15.4 48.6 2 32 2z' fill='#ed4c5c'></path><path d='M21.2 17.5l-1.2-1h1.5L22 15l.5 1.5H24l-1.2 1l.4 1.5l-1.2-.9l-1.2.9z' fill='#f9f9f9'></path><path d='M29.2 17.5l-1.2-1h1.5L30 15l.5 1.5H32l-1.2 1l.4 1.5l-1.2-.9l-1.2.9z' fill='#f9f9f9'></path><path d='M22.2 22.5l-1.2-1h1.5L23 20l.5 1.5H25l-1.2 1l.4 1.5l-1.2-.9l-1.2.9z' fill='#f9f9f9'></path><path d='M28.2 22.5l-1.2-1h1.5L29 20l.5 1.5H31l-1.2 1l.4 1.5l-1.2-.9l-1.2.9z' fill='#f9f9f9'></path><path d='M25.2 14.5l-1.2-1h1.5L26 12l.5 1.5H28l-1.2 1l.4 1.5l-1.2-.9l-1.2.9z' fill='#f9f9f9'></path><path d='M24.4 28c-4.8 0-8.6-4.1-8.6-9.1s3.9-9.1 8.6-9.1c.4 0 .7 0 1 .1c-1.2-.6-2.5-.9-3.9-.9c-5.2 0-9.5 4.5-9.5 10s4.3 10 9.5 10c1.6 0 3.2-.4 4.5-1.2c-.5.1-1 .2-1.6.2' fill='#f9f9f9'></path></g>",74
