Country,Flag Code,Int$
Australia,"<g transform='scale(0.0634, 0.0634) translate(0, 0)'><circle cx='236.84' cy='236.84' r='236.83' fill='#252F6B'/><g><polygon fill='#F3F4F5' points='162.43,363.06 178.4,343.15 153.72,347.62 145.16,323.72 135.86,347.62 110.67,343.15 126.68,362.62 110.06,382.07 135.39,378.09 143.94,401.5 153.24,378.1 179.08,382.72'/><polygon fill='#F3F4F5' points='351.21,380.64 360.26,369.36 346.28,371.89 341.43,358.35 336.15,371.89 321.88,369.36 330.95,380.39 321.54,391.42 335.89,389.16 340.73,402.42 346.0,389.17 360.65,391.78'/><polygon fill='#F3F4F5' points='351.21,131.34 360.26,120.05 346.28,122.59 341.43,109.05 336.15,122.59 321.88,120.05 330.95,131.09 321.54,142.11 335.89,139.85 340.73,153.12 346.0,139.86 360.65,142.47'/><polygon fill='#F3F4F5' points='409.8,195.83 418.85,184.54 404.87,187.08 400.02,173.54 394.75,187.08 380.46,184.54 389.54,195.58 380.12,206.6 394.47,204.35 399.31,217.61 404.59,204.35 419.23,206.97'/><polygon fill='#F3F4F5' points='300.52,224.5 309.58,213.22 295.6,215.76 290.74,202.21 285.47,215.76 271.2,213.22 280.27,224.25 270.86,235.28 285.21,233.02 290.05,246.27 295.32,233.03 309.97,235.64'/></g></g>",59
Austria,"<g transform='scale(0.0633, 0.0633) translate(0, 0)'><circle style='fill:#FFFFFF;' cx='236.85' cy='236.85' r='236.83'/><path style='fill:#E4E4E4;' d='M460.144,157.874H314.219c6.335,50.593,6.376,106.339,0.12,156.995h146.116 c8.526-24.438,13.219-50.682,13.219-78.026C473.678,209.139,468.88,182.573,460.144,157.874z'/><path style='fill:#D32027;' d='M314.219,157.874h145.922c-0.026-0.075-0.049-0.138-0.075-0.206 C429.756,72.2,351.79,9.319,258.114,0.972C294.361,20.844,304.948,83.804,314.219,157.874z'/><path style='fill:#D32027;' d='M258.114,472.697c93.848-8.362,171.927-71.46,202.12-157.156c0.079-0.228,0.146-0.453,0.228-0.673 h-146.12C305.146,389.338,294.515,452.743,258.114,472.697z'/><path style='fill:#F3F4F5;' d='M0.001,236.842c0,27.348,4.693,53.588,13.219,78.026h313.313c6.256-50.66,6.215-106.402-0.12-156.995 H13.534C4.798,182.573,0.001,209.139,0.001,236.842z'/><path style='fill:#DB2727;' d='M13.609,157.668c-0.026,0.067-0.049,0.131-0.075,0.206h312.879 c-9.27-74.07-32.052-137.029-68.303-156.901C251.098,0.352,244.007,0,236.835,0C133.807,0,46.188,65.802,13.609,157.668z'/><path style='fill:#DB2727;' d='M326.533,314.868H13.22c0.079,0.221,0.15,0.445,0.228,0.673 c32.452,92.102,120.19,158.135,223.387,158.135c7.173,0,14.263-0.352,21.274-0.98C294.515,452.743,317.337,389.338,326.533,314.868 z'/></g>",74
Belgium,"<g transform='scale(0.0633, 0.0633) translate(0, 0)'><path style='fill:#D32027;' d='M315.8,13.535l-27.64,76.632c25.511,84.193,25.511,209.154,0,293.351l27.639,76.624 c91.975-32.523,157.881-120.194,157.881-223.309C473.681,133.737,407.774,46.058,315.8,13.535z'/><path style='fill:#F0C816;' d='M315.8,90.167V13.535C291.1,4.8,264.534,0.002,236.838,0.002 C273.359,0.002,222.722,123.774,315.8,90.167z'/><path style='fill:#F0C816;' d='M236.838,473.678c27.695,0,54.261-4.798,78.961-13.534V383.52 C223.656,374.326,236.838,473.678,236.838,473.678z'/><path style='fill:#151515;' d='M0,236.837C0,340.296,66.355,428.198,158.805,460.46V13.229C66.355,45.49,0,133.392,0,236.837z'/><path style='fill:#E73B36;' d='M315.8,90.167v293.351C341.315,299.321,341.315,174.358,315.8,90.167z'/><path style='fill:#FFD72E;' d='M315.8,383.521V90.167c-16.125-53.229-42.44-90.165-78.961-90.165 c-27.351,0-53.592,4.697-78.034,13.227V460.46c24.442,8.53,50.682,13.219,78.034,13.219 C273.359,473.678,299.674,436.743,315.8,383.521z'/></g>",75
Canada,"<g transform='scale(0.06338, 0.06338) translate(0, 0)'><circle style='fill:#FFFFFF;' cx='236.85' cy='236.85' r='236.83'></circle><path style='fill:#D32027;' d='M0.002,236.842c0,89.021,49.142,166.531,121.749,206.989V29.842C49.144,70.304,0.002,147.81,0.002,236.842z'></path><path style='fill:#E7E7E7;' d='M236.837,0c-0.075,0-0.138,0.004-0.213,0.004C236.697,0.004,236.764,0,236.837,0c130.807,0,130.807,473.681,0,473.681c41.704,0,80.861-10.819,114.898-29.741V29.737C317.697,10.815,278.54,0,236.837,0z'></path><path style='fill:#B52025;' d='M351.734,29.737v414.199c72.716-40.429,121.944-117.999,121.944-207.094C473.678,147.736,424.451,70.166,351.734,29.737z'></path><path style='fill:#D32027;' d='M328.747,232.56c-3.257-3.111-9.94-2.767-11.133-7.939c-1.578-12.703,4.267-20.1,7.954-28.589c-18.66,4.364-33.372,11.548-33.357-9.528c-10.714,13.1-22.232,26.199-26.989,23.821c-6.757-3.971,6.484-37.687,7.932-55.578c-6.537,2.984-19.057,9.528-19.057,9.528s-11.38-22.258-17.404-33.237v-0.12c-0.022,0.022-0.022,0.041-0.03,0.06c-0.015-0.015-0.015-0.037-0.03-0.06v0.12c-6.032,10.979-17.404,33.237-17.404,33.237s-12.528-6.544-19.057-9.528c1.44,17.894,14.682,51.61,7.924,55.578c-4.76,2.382-16.275-10.721-26.981-23.821c0,21.076-14.704,13.893-33.357,9.528c3.68,8.485,9.525,15.882,7.932,28.589c-1.174,5.172-7.861,4.828-11.118,7.939c21.648,21.641,59.168,37.714,41.296,55.581l48.184-4.495c1.578,16.282-3.519,36.263,0.905,47.38c1.036,0,0.696,0,1.672,0c0.015,0,0.037,0,0.06,0c0.972,0,0.613,0,1.642,0c4.514-11.518-0.643-31.095,0.935-47.38l48.177,4.495C269.588,270.274,307.107,254.201,328.747,232.56z'></path></g>",57
Denmark,"<g transform='scale(0.0586, 0.0586) translate(0, 0)'><circle style='fill:#F0F0F0;' cx='256' cy='256' r='256'/><path style='fill:#D80027;' d='M200.349,222.609h309.484C493.47,97.002,386.067,0,256,0c-19.115,0-37.732,2.113-55.652,6.085 v216.524H200.349z'/><path style='fill:#D80027;' d='M133.565,222.608V31.127C63.272,69.481,12.95,139.832,2.167,222.609h131.398V222.608z'/><path style='fill:#D80027;' d='M133.564,289.391H2.167c10.783,82.777,61.105,153.128,131.398,191.481L133.564,289.391 L133.564,289.391z'/><path style='fill:#D80027;' d='M200.348,289.392v216.523C218.268,509.887,236.885,512,256,512 c130.067,0,237.47-97.002,253.833-222.609H200.348V289.392z'/></g>",78
Finland,"<g transform='scale(0.0634, 0.0634) translate(0, 0)'><circle cx='236.85' cy='236.85' r='236.83' fill='#FFFFFF'/><rect x='176' y='0' width='59' height='473.68' fill='#003580'/><rect x='0' y='176' width='473.68' height='59' fill='#003580'/></g>",69
France,"<g transform='scale(0.0633, 0.0633) translate(0, 0)'><path style='fill:#E61E25;' d='M315.802,13.535l-27.639,76.632c25.512,84.193,25.512,209.156,0,293.353l27.639,76.624c91.975-32.523,157.882-120.195,157.882-223.31C473.684,133.735,407.777,46.059,315.802,13.535z'/><path style='fill:#E4E4E4;' d='M315.802,90.167V13.535C291.102,4.8,264.536,0.002,236.84,0.002C273.361,0.002,222.723,123.775,315.802,90.167z'/><path style='fill:#E4E4E4;' d='M236.84,473.682c27.695,0,54.262-4.798,78.962-13.534v-76.624C223.658,374.328,236.84,473.682,236.84,473.682z'/><path style='fill:#3757A6;' d='M0,236.837C0,340.297,66.355,428.2,158.806,460.461V13.229C66.355,45.49,0,133.393,0,236.837z'/><path style='fill:#EF4F4E;' d='M315.802,90.167V383.52C341.317,299.323,341.317,174.359,315.802,90.167z'/><path style='fill:#F3F4F5;' d='M315.802,383.523V90.167C299.677,36.938,273.361,0.002,236.84,0.002c-27.351,0-53.592,4.697-78.034,13.227v447.234c24.442,8.53,50.683,13.22,78.034,13.22C273.361,473.682,299.677,436.746,315.802,383.523z'/></g>",68
Germany,"<g transform='scale(0.0633, 0.0633) translate(0, 0)'><circle style='fill:#FFFFFF;' cx='236.85' cy='236.85' r='236.83'/><path style='fill:#D32027;' d='M460.14,157.874H314.218c6.335,50.593,6.376,106.339,0.12,156.995h146.116c8.526-24.438,13.219-50.682,13.219-78.026C473.677,209.139,468.875,182.573,460.14,157.874z'/><path style='fill:#0B0B0B;' d='M314.218,157.874H460.14c-0.026-0.075-0.049-0.138-0.075-0.206C429.752,72.2,351.785,9.319,258.105,0.972C294.357,20.844,304.944,83.804,314.218,157.874z'/><path style='fill:#F3C515;' d='M258.109,472.697c93.848-8.362,171.927-71.46,202.12-157.156c0.079-0.228,0.146-0.452,0.228-0.673h-146.12C305.142,389.338,294.51,452.743,258.109,472.697z'/><path style='fill:#DB2727;' d='M0,236.842c0,27.348,4.693,53.588,13.219,78.026h313.313c6.256-50.66,6.215-106.402-0.12-156.995H13.534C4.798,182.573,0,209.139,0,236.842z'/><path style='fill:#151515;' d='M13.605,157.668c-0.026,0.067-0.049,0.131-0.075,0.206h312.883c-9.274-74.07-32.056-137.029-68.303-156.901C251.097,0.352,244.007,0,236.835,0C133.806,0,46.184,65.802,13.605,157.668z'/><path style='fill:#F8D12E;' d='M326.532,314.868H13.219c0.079,0.221,0.15,0.445,0.228,0.673c32.452,92.102,120.19,158.135,223.387,158.135c7.173,0,14.263-0.352,21.274-0.98C294.51,452.743,317.336,389.338,326.532,314.868z'/></g>",68
Global Ave.,,26
Guyana,"<g transform='scale(0.0633, 0.0633) translate(0, 0)'><path style='fill:#029D49;' d='M18.156,145.813C6.473,173.838,0,204.581,0,236.842s6.473,63.004,18.152,91.029l178.217-91.029 L18.156,145.813z'/><path style='fill:#FBD015;' d='M473.677,236.842c0,3.463-0.112,6.888-0.262,10.314 C473.583,243.738,473.677,240.305,473.677,236.842z'/><path style='fill:#FBD015;' d='M473.415,226.528c0.15,3.425,0.262,6.858,0.262,10.314 C473.677,233.387,473.583,229.946,473.415,226.528z'/><path style='fill:#CD2029;' d='M36.689,110.288C13.485,146.902,0,190.288,0,236.842s13.485,89.941,36.689,126.555l159.684-126.555 L36.689,110.288z'/><path style='fill:#029D49;' d='M316.039,170.158l156.733,46.651c0.269,3.22,0.49,6.466,0.643,9.723 c0.15,3.425,0.262,6.858,0.262,10.314c0-130.81-106.036-236.842-236.842-236.842C289.809,0,305.968,77.697,316.039,170.158z'/><path style='fill:#029D49;' d='M473.415,247.156c-0.153,3.257-0.374,6.492-0.643,9.723l-157.668,46.647 c-10.063,92.453-25.294,170.151-78.269,170.151c130.807,0,236.842-106.036,236.842-236.835 C473.677,240.305,473.565,243.73,473.415,247.156z'/><path style='fill:#FBD015;' d='M472.772,216.809l-145.514-48.054c4.723,43.379-21.454,101.529-26.177,144.908l171.691-56.789 c0.269-3.227,0.49-6.466,0.643-9.723c0.15-3.425,0.262-6.851,0.262-10.314c0-3.455-0.112-6.888-0.262-10.314 C473.262,223.271,473.041,220.029,472.772,216.809z'/><path style='fill:#14A755;' d='M331.39,303.526L59.156,393.351c43.398,49.235,106.888,80.326,177.678,80.326 C289.809,473.677,321.327,395.98,331.39,303.526z'/><path style='fill:#14A755;' d='M59.16,80.33l272.23,89.828C321.323,77.697,289.809,0,236.835,0 C166.048,0,102.562,31.098,59.16,80.33z'/><path style='fill:#FCD943;' d='M331.39,170.158L59.16,80.33c-0.03,0.03-0.06,0.067-0.086,0.093 c-8.201,9.319-15.676,19.296-22.359,29.823c-0.295,0.467-0.602,0.927-0.897,1.395c-1.331,2.139-2.618,4.308-3.885,6.492 c-0.512,0.868-1.013,1.746-1.511,2.629c-1.148,2.031-2.262,4.076-3.351,6.144c-0.553,1.066-1.096,2.132-1.638,3.205 c-1.017,2.008-2.027,4.024-2.988,6.062c-0.52,1.103-1.002,2.221-1.503,3.332c-0.942,2.09-1.9,4.177-2.782,6.305c0,0,0,0-0.004,0.007 l178.217,91.029L18.156,327.871l0.004,0.007c0.89,2.132,1.847,4.229,2.793,6.331c0.497,1.096,0.976,2.199,1.488,3.287 c0.965,2.053,1.974,4.084,3.003,6.099c0.535,1.058,1.07,2.117,1.619,3.164c1.096,2.083,2.214,4.14,3.366,6.178 c0.49,0.868,0.995,1.731,1.488,2.592c1.275,2.191,2.565,4.375,3.908,6.514c0.284,0.467,0.587,0.92,0.879,1.38 c6.701,10.553,14.203,20.56,22.437,29.909c0.004,0.007,0.011,0.015,0.011,0.015l272.237-89.825 C336.113,260.147,336.113,213.537,331.39,170.158z'/></g>",70
