Country,Export Value,Import Value (D),Trade Balance,Import Value,FlagBase64
Azerbaijan,74714 ,-33573 ,41140 ,33573 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Im0wIDE2Ni45IDI1My0zMS44IDI1OSAzMS44djE3OGwtMjU3LjUgMzcuNEwwIDM0NXoiLz48cGF0aCBmaWxsPSIjMzM4YWYzIiBkPSJNMCAwaDUxMnYxNjYuOUgweiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0wIDM0NC45aDUxMlY1MTJIMHoiLz48ZyBmaWxsPSIjZWVlIj48cGF0aCBkPSJNMjYxLjYgMzI4LjJhNzIuMyA3Mi4zIDAgMSAxIDM0LjQtMTM2IDg5IDg5IDAgMSAwIDAgMTI3LjMgNzIgNzIgMCAwIDEtMzQuNCA4Ljd6Ii8+PHBhdGggZD0ibTMxNy4yIDIwNiA5LjYgMjYuOCAyNS44LTEyLjMtMTIuMiAyNS44IDI2LjkgOS42LTI3IDkuNiAxMi4zIDI1LjgtMjUuOC0xMi4zLTkuNiAyNy05LjYtMjctMjUuOCAxMi4zIDEyLjMtMjUuOC0yNy05LjYgMjctOS42LTEyLjMtMjUuOCAyNS44IDEyLjN6Ii8+PC9nPjwvZz48L3N2Zz4="
Pakistan,74226 ,-139111 ,-64885 ,139111 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDBoMTMzLjZsNTAuMiAyNTIuNUwxMzMuNiA1MTJIMHoiLz48cGF0aCBmaWxsPSIjNDk2ZTJkIiBkPSJNMTMzLjYgMEg1MTJ2NTEySDEzMy42eiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0zNjUuNSAyOTguM0E3Mi4zIDcyLjMgMCAxIDEgMzEzLjcgMTY4YTg5IDg5IDAgMSAwIDc0LjYgMTAzLjIgNzIgNzIgMCAwIDEtMjIuOCAyNy4yek0zNjQgMTY3bDE4LjIgMTkuNiAyNC4zLTExLjMtMTMgMjMuNSAxOC4yIDE5LjYtMjYuMy01LjEtMTMgMjMuNC0zLjMtMjYuNy0yNi4xLTUgMjQuNC0xMS4zeiIvPjwvZz48L3N2Zz4="
Ecuador,69082 ,-54951 ,14131 ,54951 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Im0wIDM4NCAyNTQuNy0zMi43TDUxMiAzODMuOVY1MTJIMHoiLz48cGF0aCBmaWxsPSIjMDA1MmI0IiBkPSJtMCAyNTYgMjU1LTI3IDI1NyAyN3YxMjhIMHoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJNMCAwaDUxMnYyNTZIMHoiLz48Y2lyY2xlIGN4PSIyNTYiIGN5PSIyNTYiIHI9Ijg5IiBmaWxsPSIjZmZkYTQ0Ii8+PHBhdGggZmlsbD0iIzMzOGFmMyIgZD0iTTI1NiAzMTEuNmMtMzAuNyAwLTU1LjctMjUtNTUuNy01NS42di0zMy40YTU1LjcgNTUuNyAwIDAgMSAxMTEuNCAwVjI1NmMwIDMwLjYtMjUgNTUuNi01NS43IDU1LjZ6Ii8+PHBhdGggZmlsbD0iIzMzMyIgZD0iTTM0NSAxMjIuNGgtNjYuN2EyMi4zIDIyLjMgMCAwIDAtNDQuNiAwSDE2N2EyMyAyMyAwIDAgMCAyMyAyMi4zaC0uOGMwIDEyLjMgMTAgMjIuMyAyMi4zIDIyLjMgMCAxMi4zIDEwIDIyLjIgMjIuMiAyMi4yaDQ0LjZjMTIuMyAwIDIyLjItMTAgMjIuMi0yMi4yIDEyLjMgMCAyMi4zLTEwIDIyLjMtMjIuM2gtLjhhMjMgMjMgMCAwIDAgMjMtMjIuM3oiLz48L2c+PC9zdmc+"
Serbia,63334 ,-84157 ,-20822 ,84157 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Im0wIDE2NyAyNTMuOC0xOS4zTDUxMiAxNjd2MTc4bC0yNTQuOSAzMi4zTDAgMzQ1eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjE2N0gweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDM0NWg1MTJ2MTY3SDB6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTY2LjIgMTQ0Ljd2MTI3LjdjMCA3Mi42IDk0LjkgOTUgOTQuOSA5NXM5NC45LTIyLjQgOTQuOS05NVYxNDQuN3oiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJNMTA1LjQgMTY3aDExMS40di00NC42bC0yMi4zIDExLjItMzMuNC0zMy40LTMzLjQgMzMuNC0yMi4zLTExLjJ6bTEyOC4zIDEyMy4yLTcyLjMtNzIuNEw4OSAyOTAuMmwyMy43IDIzLjYgNDguNy00OC43IDQ4LjcgNDguN3oiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJNMjMzLjcgMjIyLjZIMjAwYTIyLjEgMjIuMSAwIDAgMCAzLTExLjEgMjIuMyAyMi4zIDAgMCAwLTQyLTEwLjUgMjIuMyAyMi4zIDAgMCAwLTQxLjkgMTAuNSAyMi4xIDIyLjEgMCAwIDAgMyAxMS4xSDg5YTIzIDIzIDAgMCAwIDIzIDIyLjNoLS43YzAgMTIuMyAxMCAyMi4yIDIyLjMgMjIuMiAwIDExIDcuOCAyMCAxOC4xIDIxLjlsLTE3LjUgMzkuNmE3Mi4xIDcyLjEgMCAwIDAgMjcuMiA1LjMgNzIuMSA3Mi4xIDAgMCAwIDI3LjItNS4zTDE3MS4xIDI4OWMxMC4zLTIgMTguMS0xMSAxOC4xLTIxLjkgMTIuMyAwIDIyLjMtMTAgMjIuMy0yMi4yaC0uOGEyMyAyMyAwIDAgMCAyMy0yMi4zeiIvPjwvZz48L3N2Zz4="
Cambodia,60830 ,-75805 ,-14975 ,75805 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0wIDBoNTEydjEzMy43bC0zOSAxMjEuNiAzOSAxMjMuMlY1MTJIMFYzNzguNUwzNC4yIDI1NSAwIDEzMy43eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDEzMy43aDUxMnYyNDQuOEgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0zNDUgMzA2LjF2LTMzLjNoLTIyLjJ2LTQ0LjVMMzAwLjUgMjA2bC0yMi4yIDIyLjN2LTQ0LjVMMjU2IDE2MS41bC0yMi4zIDIyLjN2NDQuNUwyMTEuNSAyMDZsLTIyLjMgMjIuM3Y0NC41SDE2N3YzMy40aC0yMi4zdjMzLjRoMjIyLjZ2LTMzLjV6Ii8+PC9nPjwvc3ZnPg=="
Croatia,49853 ,-87016 ,-37163 ,87016 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0wIDE2NyAyNTMuOC0xOS4zTDUxMiAxNjd2MTc4bC0yNTQuOSAzMi4zTDAgMzQ1eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjE2N0gweiIvPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0wIDM0NWg1MTJ2MTY3SDB6Ii8+PHBhdGggZmlsbD0iIzMzOGFmMyIgZD0iTTMyMi44IDE3OGgtNDQuNWw3LjQtNTUuNyAyOS43LTIyLjIgMjkuNiAyMi4yVjE2N3ptLTEzMy42IDBoNDQuNWwtNy40LTU1LjctMjkuNy0yMi4yLTI5LjYgMjIuMlYxNjd6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTI4NS43IDE3OGgtNTkuNHYtNTUuN2wyOS43LTIyLjIgMjkuNyAyMi4yeiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0xNjcgMTY3djEyMi4zYTg5IDg5IDAgMCAwIDM1LjggNzEuM2wxNS41LTMuOSAxOS43IDE5LjhhODkuMSA4OS4xIDAgMCAwIDE4IDEuOCA4OSA4OSAwIDAgMCAxNy45LTEuOGwyMi40LTE4LjcgMTMgMi44YTg5IDg5IDAgMCAwIDM1LjctNzEuM1YxNjd6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTE2NyAxNjdoMzUuNnYzNS41SDE2N3ptNzEuMiAwaDM1LjZ2MzUuNWgtMzUuNnptNzEuMiAwSDM0NXYzNS41aC0zNS42em0tMTA2LjggMzUuNWgzNS42djM1LjZoLTM1LjZ6bTcxLjIgMGgzNS42djM1LjZoLTM1LjZ6TTE2NyAyMzguMWgzNS42djM1LjZIMTY3em0zNS42IDM1LjZoMzUuNnYzNS42aC0zNS42em0zNS42LTM1LjZoMzUuNnYzNS42aC0zNS42em03MS4yIDBIMzQ1djM1LjZoLTM1LjZ6bS0zNS42IDM1LjZoMzUuNnYzNS42aC0zNS42em0tMzUuNiAzNS42aDM1LjZWMzQ1aC0zNS42em0tMzUuNiAwaC0zMy4zYzMgMTMuMyA5IDI1LjQgMTcuMyAzNS42aDE2ek0zMDkuNCAzNDVoMTZhODguOCA4OC44IDAgMCAwIDE3LjMtMzUuNmgtMzMuM3ptLTEwNi44IDB2MTUuNmE4OC43IDg4LjcgMCAwIDAgMzUuNiAxNlYzNDV6bTcxLjIgMHYzMS42YTg4LjcgODguNyAwIDAgMCAzNS42LTE2VjM0NXoiLz48L2c+PC9zdmc+"
Burma,46416 ,-54260 ,-7844 ,54260 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Im0wIDE2NyAyNTMuOC0xOS4zTDUxMiAxNjd2MTc4bC0yNTQuOSAzMi4zTDAgMzQ1eiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0wIDBoNTEydjE2N0gweiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDM0NWg1MTJ2MTY3SDB6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTQzMS41IDIxNi41aC0xMzRMMjU2IDg5bC00MS40IDEyNy42aC0xMzRsMTA4LjMgNzguOEwxNDcuNSA0MjMgMjU2IDM0NWwxMDguNSA3OC00MS40LTEyNy42eiIvPjwvZz48L3N2Zz4="
Democratic Republic of the Congo,45319 ,-25428 ,19891 ,25428 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMzMzhhZjMiIGQ9Ik0wIDBoNDAxLjlMNTEyIDExMC4zVjUxMkgxMTAuM0wwIDQwMS45eiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik00MDEuOSAwIDAgNDAxLjlWNDQ5bDYzIDYzaDQ3LjNMNTEyIDExMC4zVjYzTDQ0OSAweiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik00NDkgMCAwIDQ0OXY2M2g2M0w1MTIgNjNWMGgtNjN6Ii8+PHBhdGggZmlsbD0iI2ZmZGE0NCIgZD0ibTEzNi40IDc4IDEzLjggNDIuNEgxOTVsLTM2IDI2LjMgMTMuNyA0Mi41LTM2LjItMjYuMy0zNiAyNi4zIDEzLjctNDIuNUw3OCAxMjAuNGg0NC43eiIvPjwvZz48L3N2Zz4="
Estonia,45249 ,-52376 ,-7127 ,52376 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Im0wIDE2NyAyNTQuNi0zNi42TDUxMiAxNjYuOXYxNzhsLTI1NC42IDM2LjRMMCAzNDQuOXoiLz48cGF0aCBmaWxsPSIjMDA1MmI0IiBkPSJNMCAwaDUxMnYxNjYuOUgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDM0NC45aDUxMlY1MTJIMHoiLz48L2c+PC9zdmc+"
Latvia,44986 ,-53230 ,-8243 ,53230 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNhMjAwMWQiIGQ9Ik0wIDBoNTEydjE4OS4ybC0zOC41IDcwIDM4LjUgNjMuNlY1MTJIMFYzMjIuOGwzOS40LTYzTDAgMTg5LjF6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTAgMTg5LjJoNTEydjEzMy42SDB6Ii8+PC9nPjwvc3ZnPg=="
Tunisia,43003 ,-48174 ,-5170 ,48174 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMTIyLjQiIGZpbGw9IiNlZWUiLz48ZyBmaWxsPSIjZDgwMDI3Ij48cGF0aCBkPSJtMjcxIDIwOS4yIDIxIDI5IDM0LjEtMTEuMS0yMSAyOSAyMSAyOC45LTM0LTExLjEtMjEgMjlWMjY3TDIzNyAyNTZsMzQtMTF6Ii8+PHBhdGggZD0iTTI4My44IDMyOC4zYTcyLjMgNzIuMyAwIDEgMSAzNC40LTEzNiA4OSA4OSAwIDEgMCAwIDEyNy4zIDcyIDcyIDAgMCAxLTM0LjQgOC43eiIvPjwvZz48L2c+PC9zdmc+"
Luxembourg,40215 ,-59188 ,-18973 ,59188 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0wIDE2NyAyNTMuOC0xOS4zTDUxMiAxNjd2MTc4bC0yNTQuOSAzMi4zTDAgMzQ1eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjE2N0gweiIvPjxwYXRoIGZpbGw9IiMzMzhhZjMiIGQ9Ik0wIDM0NWg1MTJ2MTY3SDB6Ii8+PC9nPjwvc3ZnPg=="
Bahrain,40060 ,-34975 ,5085 ,34975 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDBoMTgyLjVsODguMSAyNjguNS04OCAyNDMuNUgweiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Im0xODIuNSAwLTgyLjMgNDIuNyA4Mi4zIDQyLjctODIuMyA0Mi42IDgyLjMgNDIuNy04Mi4zIDQyLjcgODIuMyA0Mi42LTgyLjMgNDIuNyA4Mi4zIDQyLjctODIuMyA0Mi42IDgyLjMgNDIuNy04Mi4zIDQyLjcgODIuMyA0Mi42SDUxMlYwSDE4Mi41eiIvPjwvZz48L3N2Zz4="
Costa Rica,39108 ,-43424 ,-4316 ,43424 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0wIDBoNTEydjg5bC02Ni4zIDE2Ny41TDUxMiA0MjN2ODlIMHYtODlsNjkuNy0xNjcuM0wwIDg5eiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDg5aDUxMnY3OGwtMzkuNyA5MS4xTDUxMiAzNDV2NzhIMHYtNzhsMzYuMy04NS42TDAgMTY3eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDE2N2g1MTJ2MTc4SDB6Ii8+PC9nPjwvc3ZnPg=="
Ghana,37654 ,-37460 ,193 ,37460 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0wIDE2NyAyNTYtMzIgMjU2IDMydjE3OGwtMjU2IDMyTDAgMzQ1WiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjE2N0gwWiIvPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Ik0wIDM0NWg1MTJ2MTY3SDBaIi8+PHBhdGggZmlsbD0iIzMzMyIgZD0ibTE5OCAzNDUgMTUxLTEwOUgxNjNsMTUxIDEwOS01OC0xNzhaIi8+PC9nPjwvc3ZnPg=="
Uzbekistan,36415 ,-60305 ,-23890 ,60305 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Im0wIDE3OCAyNTQuMi0yMkw1MTIgMTc4djIyLjNsLTQwLjIgNTQuMSA0MC4yIDU3LjNWMzM0bC0yNTQgMjMuNEwwIDMzNHYtMjIuM2wzNi43LTU5LjQtMzYuNy01MnoiLz48cGF0aCBmaWxsPSIjMzM4YWYzIiBkPSJNMCAwaDUxMnYxNzhIMHoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJNMCAyMDAuM2g1MTJ2MTExLjRIMHoiLz48cGF0aCBmaWxsPSIjNmRhNTQ0IiBkPSJNMCAzMzRoNTEydjE3OEgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0xMTcuMiAxMDUuN2E1MCA1MCAwIDAgMSAzOS4zLTQ4LjkgNTAuMiA1MC4yIDAgMCAwLTEwLjctMS4xIDUwIDUwIDAgMSAwIDEwLjcgOTljLTIyLjUtNS0zOS4zLTI1LTM5LjMtNDl6bTY5IDIyLjggMy4zIDEwLjRoMTFsLTkgNi41IDMuNSAxMC40LTktNi40LTguNyA2LjQgMy40LTEwLjQtOS02LjVoMTF6bTM1IDAgMy40IDEwLjRoMTFsLTkgNi41IDMuNCAxMC40LTguOC02LjQtOSA2LjQgMy41LTEwLjQtOS02LjVoMTF6bTM1IDAgMy40IDEwLjRoMTFsLTkgNi41IDMuNSAxMC40LTktNi40LTguOCA2LjQgMy40LTEwLjQtOS02LjVoMTF6bTM1IDAgMy40IDEwLjRoMTFsLTkgNi41IDMuNSAxMC40LTktNi40LTguOCA2LjQgMy40LTEwLjQtOS02LjVoMTF6bTM1IDAgMy40IDEwLjRoMTFsLTkgNi41IDMuNSAxMC40LTktNi40LTguOCA2LjQgMy40LTEwLjQtOC44LTYuNWgxMXptLTEwNS0zNi40IDMuNCAxMC40aDExbC05IDYuNSAzLjQgMTAuNC04LjgtNi41LTkgNi41IDMuNS0xMC40LTktNi41aDExem0zNSAwIDMuNCAxMC40aDExbC05IDYuNSAzLjUgMTAuNC05LTYuNS04LjggNi41IDMuNC0xMC40LTktNi41aDExem0zNSAwIDMuNCAxMC40aDExbC05IDYuNSAzLjUgMTAuNC05LTYuNS04LjggNi41IDMuNC0xMC40LTktNi41aDExem0zNSAwIDMuNCAxMC40aDExbC05IDYuNSAzLjUgMTAuNC05LTYuNS04LjggNi41IDMuNC0xMC40LTguOC02LjVoMTF6bS03MC0zNi40IDMuNCAxMC40aDExbC05IDYuNCAzLjYgMTAuNS05LTYuNS04LjggNi41IDMuNC0xMC41LTktNi40aDExem0zNSAwIDMuNCAxMC40aDExbC05IDYuNCAzLjYgMTAuNS05LTYuNS04LjggNi41IDMuNC0xMC41LTktNi40aDExem0zNSAwIDMuNCAxMC40aDExbC05IDYuNCAzLjYgMTAuNS05LTYuNS04LjggNi41IDMuNC0xMC41LTguOC02LjRoMTF6Ii8+PC9nPjwvc3ZnPg=="
Cote d'Ivoire,35574 ,-35293 ,281 ,35293 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0xNjcgMGgxNzhsMzEgMjUzLjJMMzQ1IDUxMkgxNjdsLTMzLjQtMjU3LjR6Ii8+PHBhdGggZmlsbD0iI2ZmOTgxMSIgZD0iTTAgMGgxNjd2NTEySDB6Ii8+PHBhdGggZmlsbD0iIzZkYTU0NCIgZD0iTTM0NSAwaDE2N3Y1MTJIMzQ1eiIvPjwvZz48L3N2Zz4="
