Country,SVG,Int$
Iceland,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAdBAMAAAAqZzNAAAAAGFBMVEX///8CUpzcHjXA1Ob40taZudfN3ezt8/jpsXWEAAAAMklEQVQoz2MQBAExJyVWQQRgGH6CxiBg7qTEbowADBDgpMSADJSwABIEsZqJ1faREfIAYs8yr+qW0IYAAAAASUVORK5CYII=",58
Ireland,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAUBAMAAAANaGKIAAAAD1BMVEUWm2L/iD7///+y3sv/174BQJ8QAAAAGElEQVQY02NgAANmJTBwFAQDhlHBwSQIALIxHTlPIfkHAAAAAElFTkSuQmCC",143
Israel,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAdCAMAAADvl95BAAAAM1BMVEUAOLiOpuDe5fZ2k9k+aMn3+f1Kcc3///+/ze1aftEhUsEPQ7xjhdSmueYzX8bCz+7Aze2vtD63AAAAaElEQVQ4y+2TUQ7AIAhDUYGKOt39T7sLLINk/izZ+25KgZQQhMLCGoS+QHiZN3c0iwkr8+kKJZl11W6W5NmRy9Dj4FHYGZ0bARBq2cs4FQB0wneUkOMsgyMZ41sDWMxr72f+Kmyqwi0X1aYXnak9dEQAAAAASUVORK5CYII=",57
Italy,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAbBAMAAAD8PtBdAAAAElBMVEXOKzcAkkb///+q28EBkkbvt7tlcfnnAAAAGUlEQVQoz2NwFAQBYSUwCGCAgFHBUUG8ggBTFC/I4rFoIQAAAABJRU5ErkJggg==",62
Luxembourg,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAYAgMAAAD16ldTAAAACVBMVEUAod7tKTn////17qLaAAAAFUlEQVQY02MIhQMGqjJXwQF1mTQCADw2T7EmcircAAAAAElFTkSuQmCC",146
Netherlands,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAbAgMAAABzfiX9AAAACVBMVEX///8hRouuHChfbmbQAAAAFUlEQVQY02NYBQcMtGLSAYTCAa2YAJQLWaccQRfwAAAAAElFTkSuQmCC",80
Norway,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAdBAMAAAAqZzNAAAAAJFBMVEUAIFv///+6DC+/x9bNSmS6wtKircPAIUHGN1T//v56iqmMmrWaaF9zAAAAO0lEQVQoz2NQAoHCAIbEJiU4YBh+ghMFQQAoKAgHkgzGYLCBYbExAjBQCLCaidV2FxBwBAq6IMDwC3kAfHpfnYepGtcAAAAASUVORK5CYII=",93
Qatar,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAQBAMAAACW+SCeAAAALVBMVEWKFTj////+/f369Pb16u7ChJe6dYqqVG3Tp7WPIELx4+eyZXyiRWHfvsjevcdOQpPVAAAAOklEQVQY02NQFAQC4XYGFAAWFInBIii4FJvKDdhUmmJTmYlFUPgaNsF2ogWfEWsRdidtINqbMYSdBADMUg/16SFXQQAAAABJRU5ErkJggg==",53
Saudi Arabia,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAbCAMAAAA5zj1cAAAAQlBMVEUAVDBvnoohakoTYD9bkHkGWDU7e2ACVTFDgWaBq5kmbU95pZJRinFVjXU1d1pLhm2Os6OiwbMtclRkl4EKWje50MYuwG0pAAAAnklEQVQ4y+XTuQ4DMQgEULABj+9r9/9/NV0qK0qRajP1k9AgoEBfJdBDoRJdpD5cpEtTUtJ0HWEraXNp1sCoq0ssUo/QbY3ZyoZUKa5ice9H2GXbkI6SknCrSFHkCCtszlmQMTJ2he98Hg0Doy1nc9y5GXuzcoQ2B3oemfdwbQgyO3feYwruIu+8Nu8V60FHoZ/K+BzfueOUf3iFH8EXincH0Y/Lci4AAAAASUVORK5CYII=",53
Singapore,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAbCAMAAAA5zj1cAAAAPFBMVEXtKTnvRFL5srj3oajvPEryW2fuM0L////2k5vtKjr1hY30doH+6On2lJzzbXjwTlv6wcb7ztL82Nv/9/iW1qa7AAAAe0lEQVQ4y+3RORIDIQxE0Q9IaATMfv+7OnDgyINyu+NXqmo1TijOG3pSicB9DAWZwn6fAi3XCazDNoStPdx0HNRu12OHevRH2OxCSgWaPsJuA/DPD77BZCakkmrRSetimXQKeZtAv6wHl9nXrDUCA1uvSygrFswf/g58AZjBEs/aTMUHAAAAAElFTkSuQmCC",74
Spain,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAbCAMAAAA5zj1cAAAAjVBMVEX/xADWsQvknRS4ZEq1RxL5tQD8wgXGCx7VORftug6rTgixPxXrrwq7rUjOvZbUiArNrou4eQSkYhCUmFLIrCvyvwfvqAbamA/YegrHiB3PbQiiUxbhkA3PusTASw/rtwW+elrOnkjTlUjFpYX2vQDCmhzRpbK5XRKzXEDImHGLPSqyWkF3TFrgkbVSZWU/pl0VAAAAiklEQVQ4y+XTRw7CQAxA0amB6SUhPQRI6OX+x+MG8Qh28NdPsmTZaJUY+im4Tgx9lkhSmdDHcZMA9VadWQsy7jIXQqg4gQbjnqmrtzOG4FTH6J8D8QCsd23sHqfB0XIZEtp0t9ed9pQvw9I2UiqmhAUgNpWUF8awAVZZ5ILszUEXuUDflXw9f/lcb4nLFkvy34BaAAAAAElFTkSuQmCC",57
Sweden,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAZAgMAAAA+toT2AAAACVBMVEUAaqf+zAB/m1N8Q7kSAAAAGklEQVQY02NgYGCYmsAAA7RmhsIBSUy6OhIASfMjv9uXrDcAAAAASUVORK5CYII=",70
Switzerland,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoBAMAAAB+0KVeAAAAElBMVEX/AAD/////wMD/gID/YGD/8PBDRn5nAAAANklEQVQoz2NgGLzA2djYBENQUVBQaJALsigBQaCgoCiIdoAKMgsiAQN6C2J10lAJT9yJYfAAAHGvEL146aHXAAAAAElFTkSuQmCC",76
Taiwan,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAbCAMAAAA5zj1cAAAAOVBMVEUAAJW4uOItLadvb8T+/v9ERLGkpNn+AACAAEoMDJoqKqayst/q6vYxManDw+ZTU7fS0uySktKVldNyZte4AAAAbUlEQVQ4y+2Ryw6AIAwEW9gWy0PQ//9YLx5JivGoc55MslmiCWkCPRUDtUZhQcwcI2dXtCi67yrRvGLgClQOXlG0AEBR8YpZAUCzO+YsXCuXwx1jNlSHmTuGRHoXWXrmrr2/cJswFdMiv/gd8QIDoRiQuGWcywAAAABJRU5ErkJggg==",57
U.S.,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAVCAMAAAADxFwsAAAAM1BMVEXGWmdWVoJGRXV/fqDsyM1BQHE8O27YkZr///+yIjS1nLBKSXheXYdzcpdmZY2JiKfrx8sZZnA7AAAAjUlEQVQoz62Q2wrDQAhE1e1Mkrq5/P/Xdi8plFLBhx7E8yLKKHTCWutGa1uAoHhVL2bTWAKEKGhVdZprgODkUXnibYkg+ybWOs1w8GNoODxN261V1WmGYbCb3kPdCN9DPdwObQzHqekKU3c0Q52P31wjjN5husPTzy/CjWsS2ZLIkiR/+v+kT6fDZN/zArG+FImrLSObAAAAAElFTkSuQmCC",70
UK,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAUCAMAAADImI+JAAAANlBMVEX////w8vfyxcx8jbJCWpAOLHFVa5sBIWnIEC7WTGLnv8qAkLTheYpecqHx0digrMfz3+T21dqBS5WQAAAApUlEQVQoz8WTyxpFMAyEpyqOuhTv/7IntImmurAzC59kfsIIhA5wnn6iASMLgzbIT2Fk6joUaAUKBsiJm+kJ0iyuR1mQBam8Cex1dINkZ6EesSZwrR8JfdYWl7AcbCRw5ypytYmPpy6w3X6jL8HXL6PxOODgTPYEcnXmFe94cuBsdJzwpIFrRwK3WPkJLQqL2aUoUVisXjOvLizWWNyMVljrV0gz/wdhEi0lRIbcAAAAAElFTkSuQmCC",59
