Total Sales,Year,Month
36933000,2024,4
35296500,2024,1
33694000,2023,7
33504000,2023,1
33279500,2023,5
31982500,2023,10
30808000,2024,5
29977000,2024,2
29190000,2024,3
27442500,2024,6
26773500,2023,3
26684500,2023,2
26287500,2023,11
26211500,2023,8
25846500,2023,9
25715500,2023,6
25474500,2023,4
24906000,2023,12
